"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mytilidae,%20Lucinidae,%20Pectinidae,%20Pholadomyidae,%20Veneridae&taxon_reso=species&idqual=certain&max_ma=251.9&min_ma=0&show=class,classext,refattr,acconly"
"Access Time","Thu 2020-01-16 18:06:21 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mytilidae, Lucinidae, Pectinidae, Pholadomyidae, Veneridae"
"","idreso","species"
"","idqual","certain"
"","min_ma","0"
"","max_ma","251.9"
"","timerule","major"
"","taxon_status","all"
"","show","class,classext,refattr,acconly"
"Elapsed Time","0.786"
"Records Found","16488"
"Records Returned","16488"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","phylum_no","class","class_no","order","order_no","family","family_no","genus","genus_no","subgenus_no"
"15017","occ","","","1295","Pholadomya occidentalis","species","61723","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya","18795",""
"15023","occ","","F","1296","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15033","occ","","","1296","Nymphalucina linearia","species","60962","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Nymphalucina","17989",""
"15044","occ","","F","1296","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15068","occ","","","1296","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
"15084","occ","","","1296","Nymphalucina linearia","species","60962","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Nymphalucina","17989",""
"15101","occ","","F","1297","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15102","occ","","","1297","Crenella elegantula","species","130052","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15106","occ","","","1297","Nymphalucina linearia","species","60962","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Nymphalucina","17989",""
"15124","occ","","","1297","Nymphalucina linearia","species","60962","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Nymphalucina","17989",""
"15157","occ","","F","1298","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15158","occ","","","1298","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
"15201","occ","","","1298","Nymphalucina linearia","species","60962","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Nymphalucina","17989",""
"15227","occ","","F","1299","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15228","occ","","","1299","Crenella elegantula","species","130052","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15231","occ","","","1299","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
"15262","occ","","","1299","Nymphalucina linearia","species","60962","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Nymphalucina","17989",""
"15298","occ","","","1300","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
"15300","occ","","F","1300","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"15362","occ","","","1301","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
